contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,qvalue,is_significant_fdr_10,is_significant_fdr_05
a4_model_swap:v3_a4_rubric_gpt_4_1_scoring_gpt_5_2__vs__v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,swap_pair,v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,mean_expected_stage,30,-0.08790215839944945,-0.11944444444444446,0.4121949205738115,-0.2132538612486586,0.4,-0.23451963410399948,0.05117534644721169,0.2455508898220356,0.29466106778644274,False,False
a4_model_swap:v3_a4_rubric_gpt_4_1_scoring_gpt_5_2__vs__v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,swap_pair,v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,mean_subset_size,30,0.09448249849565643,0.07537878787878793,0.1854546731835209,0.5094641017870664,0.7333333333333333,0.030732474135628157,0.1637601843031409,0.008998200359928014,0.02699460107978404,True,True
a4_model_swap:v3_a4_rubric_gpt_4_1_scoring_gpt_5_2__vs__v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,swap_pair,v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,mid_scale_mass,30,-0.029140714663160486,-0.041154970760233944,0.2296194802463791,-0.12690872147211912,0.4,-0.10903737328656703,0.04794693705942412,0.484503099380124,0.484503099380124,False,False
a4_model_swap:v3_a4_rubric_gpt_4_1_scoring_gpt_5_2__vs__v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,swap_pair,v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,singleton_rate,30,-0.08341915007936679,-0.07537878787878782,0.17953461233366744,-0.46464104606375956,0.26666666666666666,-0.14840234850074244,-0.018292149174211857,0.014797040591881624,0.02959408118376325,True,True
a4_model_swap:v3_a4_rubric_gpt_4_1_scoring_gpt_5_2__vs__v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,swap_pair,v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,stage_entropy,30,0.040985056019625495,0.046657258802456025,0.18013196966335965,0.2275279401886327,0.7,-0.02277753800779301,0.10526939849048618,0.22495500899820037,0.29466106778644274,False,False
a5_concept_swap:v3_a5_gpt_4_1_illiberal_democracy__vs__v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,model_comparison,v3_a5_gpt_4_1_illiberal_democracy,v3_a5_gpt_5_2_illiberal_democracy,abstain_rate,30,0.33166666666666667,0.30000000000000004,0.18776513820844587,1.7663910874577247,0.9666666666666667,0.26666666666666666,0.39666666666666667,0.0001999600079984003,0.00029994001199760045,True,True
a5_concept_swap:v3_a5_gpt_4_1_illiberal_democracy__vs__v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,model_comparison,v3_a5_gpt_4_1_illiberal_democracy,v3_a5_gpt_5_2_illiberal_democracy,mean_expected_stage,30,-0.3840276996920445,-0.4563995215311005,0.38936877558620314,-0.9862827318751547,0.16666666666666666,-0.5197347971187788,-0.24308838520703208,0.0003999200159968006,0.00047990401919616074,True,True
a5_concept_swap:v3_a5_gpt_4_1_illiberal_democracy__vs__v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,model_comparison,v3_a5_gpt_4_1_illiberal_democracy,v3_a5_gpt_5_2_illiberal_democracy,mean_subset_size,30,-0.4391586624016964,-0.4293343653250774,0.23329563497562258,-1.8824126840075028,0.03333333333333333,-0.5196059482671325,-0.355591826649586,0.0001999600079984003,0.00029994001199760045,True,True
a5_concept_swap:v3_a5_gpt_4_1_illiberal_democracy__vs__v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,model_comparison,v3_a5_gpt_4_1_illiberal_democracy,v3_a5_gpt_5_2_illiberal_democracy,mid_scale_mass,30,0.09507383750675805,0.08333333333333337,0.255986709660341,0.3714014592121126,0.5666666666666667,0.0007875388392996794,0.18094001914909424,0.054789042191561686,0.054789042191561686,True,False
a5_concept_swap:v3_a5_gpt_4_1_illiberal_democracy__vs__v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,model_comparison,v3_a5_gpt_4_1_illiberal_democracy,v3_a5_gpt_5_2_illiberal_democracy,singleton_rate,30,0.3618513008605888,0.375,0.1863276879759249,1.9420157293388574,0.9666666666666667,0.2960818936359766,0.4271593564924641,0.0001999600079984003,0.00029994001199760045,True,True
