contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,policy_family
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,mean_subset_size,29,0.05747126436781612,0.0,0.6346881843918931,0.09055039274581807,0.4482758620689655,-0.1724137931034483,0.2873563218390805,0.6160767846430714,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,mid_scale_mass,30,-0.025925925925925925,-0.04166666666666663,0.3011201357787627,-0.08609828053801782,0.36666666666666664,-0.1347337962962963,0.07964120370370363,0.6354729054189162,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,singleton_rate,29,-0.07758620689655174,0.0,0.4954810846034196,-0.1565876262635764,0.3793103448275862,-0.26436781609195403,0.09482758620689655,0.3843231353729254,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,stage_entropy,30,-0.039822285183739044,-0.0022759097279367313,0.37941225811106405,-0.10495782445722142,0.43333333333333335,-0.17752441194320556,0.09091773741833753,0.5590881823635273,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,tbm_conflict,30,-0.1953807482916667,-0.026250000000000107,0.6999832065267628,-0.27912205102908655,0.3333333333333333,-0.4362659590666666,0.04461610950937461,0.1365726854629074,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,abstain_rate,30,0.025,0.0,0.20075289322430956,0.12453120649208509,0.3,-0.041666666666666664,0.09187499999999886,0.6502699460107978,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,closed_world_conflict,30,-0.002391953333333341,0.0,0.4395614006666102,-0.005441681935005804,0.36666666666666664,-0.1598400993,0.14479637616666655,0.9772045590881824,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,mean_expected_stage,30,0.06805555555555556,0.0,0.4195993535466984,0.16219175501656596,0.43333333333333335,-0.07232638888888888,0.20975694444444432,0.3795240951809638,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,mean_score_expert_agreement_prob,30,-0.02650000000000001,-0.020000000000000018,0.10035626193887869,-0.26405925736990543,0.4,-0.061337500000000024,0.008666666666666675,0.15256948610277946,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,mean_subset_size,30,0.02222222222222224,0.0,0.3751968406329471,0.05922816989805656,0.4,-0.10555555555555557,0.15006944444444412,0.7306538692261547,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,mid_scale_mass,30,0.02962962962962962,0.0,0.24812336659773723,0.11941491055804426,0.3333333333333333,-0.05834490740740742,0.1175925925925926,0.51749650069986,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c3_gpt_5_2_bundle_5_cluster_l3_v2,singleton_rate,30,-0.04444444444444444,0.0,0.35472544380874754,-0.1252925191022016,0.43333333333333335,-0.16944444444444445,0.08055555555555556,0.5166966606678665,c2_l3_projection
